"","Cells","cluster"
"1","SS2_15_0048_A3",1
"2","SS2_15_0048_A6",1
"3","SS2_15_0048_A5",1
"4","SS2_15_0048_A4",2
"5","SS2_15_0048_A1",1
"6","SS2_15_0048_A2",2
"7","SS2_15_0048_A8",2
"8","SS2_15_0048_A9",3
"9","SS2_15_0048_A7",1
"10","SS2_15_0048_A10",1
"11","SS2_15_0048_A11",2
"12","SS2_15_0048_A12",2
"13","SS2_15_0048_A13",1
"14","SS2_15_0048_A14",1
"15","SS2_15_0048_A17",1
"16","SS2_15_0048_A18",1
"17","SS2_15_0048_A16",1
"18","SS2_15_0048_A15",1
"19","SS2_15_0048_A19",2
"20","SS2_15_0048_A20",1
"21","SS2_15_0048_A22",1
"22","SS2_15_0048_A21",2
"23","SS2_15_0048_A24",2
"24","SS2_15_0048_B2",1
"25","SS2_15_0048_B1",1
"26","SS2_15_0048_B4",1
"27","SS2_15_0048_B3",2
"28","SS2_15_0048_B5",1
"29","SS2_15_0048_B6",1
"30","SS2_15_0048_B8",1
"31","SS2_15_0048_B7",1
"32","SS2_15_0048_B9",1
"33","SS2_15_0048_B10",1
"34","SS2_15_0048_B11",3
"35","SS2_15_0048_B12",2
"36","SS2_15_0048_B13",2
"37","SS2_15_0048_B14",1
"38","SS2_15_0048_B15",1
"39","SS2_15_0048_B16",2
"40","SS2_15_0048_B17",1
"41","SS2_15_0048_B18",1
"42","SS2_15_0048_B20",1
"43","SS2_15_0048_B19",1
"44","SS2_15_0048_B21",1
"45","SS2_15_0048_B22",1
"46","SS2_15_0048_B24",1
"47","SS2_15_0048_B23",1
"48","SS2_15_0048_C2",2
"49","SS2_15_0048_C1",1
"50","SS2_15_0048_C4",1
"51","SS2_15_0048_C3",1
"52","SS2_15_0048_C5",1
"53","SS2_15_0048_C6",1
"54","SS2_15_0048_C7",1
"55","SS2_15_0048_C8",2
"56","SS2_15_0048_C9",1
"57","SS2_15_0048_C10",1
"58","SS2_15_0048_C11",4
"59","SS2_15_0048_C12",1
"60","SS2_15_0048_C13",2
"61","SS2_15_0048_C14",2
"62","SS2_15_0048_C15",1
"63","SS2_15_0048_C16",2
"64","SS2_15_0048_C17",1
"65","SS2_15_0048_C18",1
"66","SS2_15_0048_C19",1
"67","SS2_15_0048_C20",1
"68","SS2_15_0048_C21",2
"69","SS2_15_0048_C22",2
"70","SS2_15_0048_C23",3
"71","SS2_15_0048_C24",1
"72","SS2_15_0048_D1",1
"73","SS2_15_0048_D3",1
"74","SS2_15_0048_D2",1
"75","SS2_15_0048_D4",1
"76","SS2_15_0048_D5",1
"77","SS2_15_0048_D6",2
"78","SS2_15_0048_D7",1
"79","SS2_15_0048_D9",1
"80","SS2_15_0048_D10",1
"81","SS2_15_0048_D8",2
"82","SS2_15_0048_D11",1
"83","SS2_15_0048_D12",1
"84","SS2_15_0048_D13",3
"85","SS2_15_0048_D15",1
"86","SS2_15_0048_D14",1
"87","SS2_15_0048_D16",1
"88","SS2_15_0048_D17",2
"89","SS2_15_0048_D18",1
"90","SS2_15_0048_D19",1
"91","SS2_15_0048_D21",1
"92","SS2_15_0048_D22",1
"93","SS2_15_0048_D23",1
"94","SS2_15_0048_D24",2
"95","SS2_15_0048_E1",2
"96","SS2_15_0048_E4",1
"97","SS2_15_0048_E3",1
"98","SS2_15_0048_E5",2
"99","SS2_15_0048_E6",1
"100","SS2_15_0048_E7",1
"101","SS2_15_0048_E8",2
"102","SS2_15_0048_E9",1
"103","SS2_15_0048_E11",2
"104","SS2_15_0048_E10",1
"105","SS2_15_0048_E12",1
"106","SS2_15_0048_E13",1
"107","SS2_15_0048_E14",1
"108","SS2_15_0048_E15",2
"109","SS2_15_0048_E17",1
"110","SS2_15_0048_E16",1
"111","SS2_15_0048_E18",2
"112","SS2_15_0048_E20",2
"113","SS2_15_0048_E19",1
"114","SS2_15_0048_E21",1
"115","SS2_15_0048_E22",3
"116","SS2_15_0048_E23",1
"117","SS2_15_0048_E24",1
"118","SS2_15_0048_F1",2
"119","SS2_15_0048_F2",1
"120","SS2_15_0048_F3",3
"121","SS2_15_0048_F4",1
"122","SS2_15_0048_F5",1
"123","SS2_15_0048_F6",1
"124","SS2_15_0048_F7",1
"125","SS2_15_0048_F8",1
"126","SS2_15_0048_F9",1
"127","SS2_15_0048_F10",1
"128","SS2_15_0048_F11",1
"129","SS2_15_0048_F12",2
"130","SS2_15_0048_F14",4
"131","SS2_15_0048_F13",3
"132","SS2_15_0048_F15",1
"133","SS2_15_0048_F17",1
"134","SS2_15_0048_F16",1
"135","SS2_15_0048_F18",1
"136","SS2_15_0048_F19",4
"137","SS2_15_0048_F20",1
"138","SS2_15_0048_F21",2
"139","SS2_15_0048_F23",2
"140","SS2_15_0048_F22",1
"141","SS2_15_0048_F24",2
"142","SS2_15_0048_G1",1
"143","SS2_15_0048_G2",2
"144","SS2_15_0048_G3",3
"145","SS2_15_0048_G4",1
"146","SS2_15_0048_G6",1
"147","SS2_15_0048_G8",1
"148","SS2_15_0048_G7",1
"149","SS2_15_0048_G9",1
"150","SS2_15_0048_G10",2
"151","SS2_15_0048_G11",3
"152","SS2_15_0048_G12",1
"153","SS2_15_0048_G13",1
"154","SS2_15_0048_G14",2
"155","SS2_15_0048_G15",1
"156","SS2_15_0048_G17",1
"157","SS2_15_0048_G16",3
"158","SS2_15_0048_G18",1
"159","SS2_15_0048_G19",2
"160","SS2_15_0048_G20",1
"161","SS2_15_0048_G21",4
"162","SS2_15_0048_G22",1
"163","SS2_15_0048_G23",1
"164","SS2_15_0048_G24",4
"165","SS2_15_0048_H1",1
"166","SS2_15_0048_H2",1
"167","SS2_15_0048_H3",4
"168","SS2_15_0048_H4",2
"169","SS2_15_0048_H5",3
"170","SS2_15_0048_H6",1
"171","SS2_15_0048_H7",1
"172","SS2_15_0048_H8",1
"173","SS2_15_0048_H9",1
"174","SS2_15_0048_H10",3
"175","SS2_15_0048_H11",1
"176","SS2_15_0048_H12",2
"177","SS2_15_0048_H13",1
"178","SS2_15_0048_H14",3
"179","SS2_15_0048_H15",1
"180","SS2_15_0048_H16",2
"181","SS2_15_0048_H18",1
"182","SS2_15_0048_H20",1
"183","SS2_15_0048_H19",2
"184","SS2_15_0048_H21",1
"185","SS2_15_0048_H22",1
"186","SS2_15_0048_H23",2
"187","SS2_15_0048_H24",1
"188","SS2_15_0048_I1",1
"189","SS2_15_0048_I2",2
"190","SS2_15_0048_I3",1
"191","SS2_15_0048_I4",1
"192","SS2_15_0048_I5",2
"193","SS2_15_0048_I6",1
"194","SS2_15_0048_I7",1
"195","SS2_15_0048_I8",1
"196","SS2_15_0048_I9",3
"197","SS2_15_0048_I10",1
"198","SS2_15_0048_I11",2
"199","SS2_15_0048_I12",1
"200","SS2_15_0048_I13",2
"201","SS2_15_0048_I14",2
"202","SS2_15_0048_I15",2
"203","SS2_15_0048_I16",1
"204","SS2_15_0048_I17",1
"205","SS2_15_0048_I18",2
"206","SS2_15_0048_I20",1
"207","SS2_15_0048_I19",3
"208","SS2_15_0048_I21",2
"209","SS2_15_0048_I22",3
"210","SS2_15_0048_I23",1
"211","SS2_15_0048_J2",1
"212","SS2_15_0048_J1",3
"213","SS2_15_0048_J3",1
"214","SS2_15_0048_J4",1
"215","SS2_15_0048_J5",2
"216","SS2_15_0048_J6",1
"217","SS2_15_0048_J7",1
"218","SS2_15_0048_J8",2
"219","SS2_15_0048_J9",1
"220","SS2_15_0048_J10",2
"221","SS2_15_0048_J11",2
"222","SS2_15_0048_J12",1
"223","SS2_15_0048_J13",1
"224","SS2_15_0048_J14",1
"225","SS2_15_0048_J15",1
"226","SS2_15_0048_J16",1
"227","SS2_15_0048_J17",3
"228","SS2_15_0048_J18",1
"229","SS2_15_0048_J20",1
"230","SS2_15_0048_J19",2
"231","SS2_15_0048_J21",2
"232","SS2_15_0048_J22",1
"233","SS2_15_0048_J23",2
"234","SS2_15_0048_K1",1
"235","SS2_15_0048_K2",1
"236","SS2_15_0048_K4",1
"237","SS2_15_0048_K3",1
"238","SS2_15_0048_K5",2
"239","SS2_15_0048_K6",1
"240","SS2_15_0048_K8",1
"241","SS2_15_0048_K7",2
"242","SS2_15_0048_K10",4
"243","SS2_15_0048_K9",1
"244","SS2_15_0048_K12",1
"245","SS2_15_0048_K11",1
"246","SS2_15_0048_K13",1
"247","SS2_15_0048_K14",1
"248","SS2_15_0048_K15",4
"249","SS2_15_0048_K16",1
"250","SS2_15_0048_K18",2
"251","SS2_15_0048_K17",3
"252","SS2_15_0048_K19",1
"253","SS2_15_0048_K21",1
"254","SS2_15_0048_K22",1
"255","SS2_15_0048_K23",1
"256","SS2_15_0048_L2",1
"257","SS2_15_0048_L1",2
"258","SS2_15_0048_L3",1
"259","SS2_15_0048_L4",2
"260","SS2_15_0048_L5",2
"261","SS2_15_0048_L6",1
"262","SS2_15_0048_L7",1
"263","SS2_15_0048_L9",1
"264","SS2_15_0048_L8",2
"265","SS2_15_0048_L10",1
"266","SS2_15_0048_L11",2
"267","SS2_15_0048_L12",1
"268","SS2_15_0048_L13",1
"269","SS2_15_0048_L14",1
"270","SS2_15_0048_L15",1
"271","SS2_15_0048_L16",1
"272","SS2_15_0048_L17",1
"273","SS2_15_0048_L18",1
"274","SS2_15_0048_L19",1
"275","SS2_15_0048_L21",1
"276","SS2_15_0048_L20",1
"277","SS2_15_0048_L22",1
"278","SS2_15_0048_L23",1
"279","SS2_15_0048_M1",1
"280","SS2_15_0048_M2",1
"281","SS2_15_0048_M3",1
"282","SS2_15_0048_M4",1
"283","SS2_15_0048_M5",1
"284","SS2_15_0048_M6",1
"285","SS2_15_0048_M7",1
"286","SS2_15_0048_M8",2
"287","SS2_15_0048_M9",1
"288","SS2_15_0048_M10",1
"289","SS2_15_0048_M11",1
"290","SS2_15_0048_M12",1
"291","SS2_15_0048_M13",1
"292","SS2_15_0048_M14",1
"293","SS2_15_0048_M15",1
"294","SS2_15_0048_M16",1
"295","SS2_15_0048_M17",1
"296","SS2_15_0048_M18",1
"297","SS2_15_0048_M19",4
"298","SS2_15_0048_M20",1
"299","SS2_15_0048_M22",1
"300","SS2_15_0048_M23",2
"301","SS2_15_0048_M21",1
"302","SS2_15_0048_N1",4
"303","SS2_15_0048_N2",2
"304","SS2_15_0048_N3",1
"305","SS2_15_0048_N4",1
"306","SS2_15_0048_N5",1
"307","SS2_15_0048_N6",4
"308","SS2_15_0048_N8",1
"309","SS2_15_0048_N7",2
"310","SS2_15_0048_N9",1
"311","SS2_15_0048_N11",1
"312","SS2_15_0048_N12",1
"313","SS2_15_0048_N10",1
"314","SS2_15_0048_N13",1
"315","SS2_15_0048_N14",1
"316","SS2_15_0048_N15",1
"317","SS2_15_0048_N18",1
"318","SS2_15_0048_N17",1
"319","SS2_15_0048_N16",1
"320","SS2_15_0048_N19",1
"321","SS2_15_0048_N21",1
"322","SS2_15_0048_N20",3
"323","SS2_15_0048_N22",3
"324","SS2_15_0048_N23",1
"325","SS2_15_0048_O1",1
"326","SS2_15_0048_O2",1
"327","SS2_15_0048_O3",1
"328","SS2_15_0048_O4",2
"329","SS2_15_0048_O5",1
"330","SS2_15_0048_O6",1
"331","SS2_15_0048_O7",1
"332","SS2_15_0048_O8",1
"333","SS2_15_0048_O9",1
"334","SS2_15_0048_O10",1
"335","SS2_15_0048_O11",1
"336","SS2_15_0048_O12",1
"337","SS2_15_0048_O13",1
"338","SS2_15_0048_O14",1
"339","SS2_15_0048_O16",1
"340","SS2_15_0048_O15",3
"341","SS2_15_0048_O17",1
"342","SS2_15_0048_O18",2
"343","SS2_15_0048_O20",1
"344","SS2_15_0048_O19",2
"345","SS2_15_0048_O21",1
"346","SS2_15_0048_O23",1
"347","SS2_15_0048_O22",1
"348","SS2_15_0048_P1",1
"349","SS2_15_0048_P2",1
"350","SS2_15_0048_P3",1
"351","SS2_15_0048_P5",2
"352","SS2_15_0048_P4",2
"353","SS2_15_0048_P6",1
"354","SS2_15_0048_P7",4
"355","SS2_15_0048_P8",1
"356","SS2_15_0048_P9",1
"357","SS2_15_0048_P10",1
"358","SS2_15_0048_P11",2
"359","SS2_15_0048_P12",1
"360","SS2_15_0048_P14",3
"361","SS2_15_0048_P13",1
"362","SS2_15_0048_P15",1
"363","SS2_15_0048_P16",2
"364","SS2_15_0048_P17",1
"365","SS2_15_0048_P18",1
"366","SS2_15_0048_P20",1
"367","SS2_15_0048_P19",1
"368","SS2_15_0048_P21",3
"369","SS2_15_0048_P22",1
"370","SS2_15_0048_P23",1
"371","SS2_15_0049_A4",1
"372","SS2_15_0049_A2",1
"373","SS2_15_0049_A5",1
"374","SS2_15_0049_A3",1
"375","SS2_15_0049_A1",4
"376","SS2_15_0049_A6",4
"377","SS2_15_0049_A8",1
"378","SS2_15_0049_A7",3
